shower:number_of_pixel,shower:width,shower:length,shower:delta,shower:psi,shower:skewness,shower:kurtosis,shower:phi,shower:miss,shower:r,shower:cog:x,shower:cog:y,shower:size,array:num_triggered_telescopes
110,0.3620139508989249,0.3740703575067134,-0.34882671827624956,-0.34882671827624956,-0.028875879720305427,4.168778428066476,0.25705363228211625,0.003885071953921582,0.006822068185488001,0.006597917102660102,0.0017343887205216917,2256.208888041393,4
29,0.3026629931612399,0.3324243960717925,-1.0727119142109336,-1.0727119142109336,-0.6098320951589113,4.086034219157424,-2.807847305190626,0.14430628959849712,0.14627712516927313,-0.1382058542897632,-0.047918046577713744,624.6011464659498,4
108,0.36804506212464855,0.3723036399637465,-0.9729088612782516,-0.9729088612782516,0.05814536522611554,3.9936860132223764,-0.8167065967320495,0.011769239199530044,0.07565342104412098,0.051794258269531636,-0.05514340328623271,2148.502179823576,4
114,0.3382888632221644,0.34368536676937606,-1.0044607884788248,-1.0044607884788248,0.15487688781597855,4.746853850133742,1.3484130464710842,0.05048709460398396,0.07116361686204171,0.01569548000939111,0.06941118261607615,2208.095286215067,4
79,0.3444082909123677,0.36652257054690335,-0.5242655467957933,-0.5242655467957933,0.3807669265672598,3.6798280976476283,1.0097351965516224,0.025045159117015957,0.02506212319467003,0.013335178484653858,0.021219873557758118,1651.6698713274773,2
102,0.2841086429452609,0.29987137635351363,-0.59295372901307,-0.59295372901307,0.27114557500848063,3.72297412680639,-2.2162347666425717,0.003775888060428159,0.0037810946515661518,-0.0022745127155258064,-0.0030204749081913563,2049.800306797864,2
52,0.13508193987083345,0.3009056012384697,0.08729032611322914,0.08729032611322914,0.9306616090622508,3.416960104137463,0.05604082948273617,0.00986896832001721,0.3158634791911656,0.3153676125820221,0.017691987482007128,1747.7012444975683,10
51,0.15277738299859708,0.3347794570019533,-0.20410896914546967,-0.20410896914546967,0.4200862646877011,3.5212124104992197,-0.546204285464405,0.09963916049895935,0.2970209482079066,0.25380509748951857,-0.15428679840692747,1500.43882118755,10
35,0.14409875543406978,0.47035047223347853,-0.16101962248655902,-0.16101962248655902,0.2754000090475963,2.6912153250846287,-0.2237574862526872,0.021096337026689956,0.33648233225247504,0.3280940185812126,-0.07466374548129712,673.475845164605,10
112,0.322171951098621,0.32369389993064274,0.8392498784872066,0.8392498784872066,-0.06866204100188865,3.528760034892609,0.8639449779045235,2.0798412936956812E-4,0.00842293716419925,0.005470215280139329,0.006404889949170018,2257.0084834261033,10
117,0.330190536187258,0.3822706705945095,0.08287601912827586,0.08287601912827586,-0.6394428866752485,4.825166031380285,-2.01620411712904,0.026005164546154338,0.03010995223065,-0.012972147883105146,-0.02717227636085861,2689.356211293135,10
132,0.34259055418399414,0.36921163662975215,-1.484832303629025,-1.484832303629025,0.10485688865750045,5.343590526777585,0.7380241356655018,0.013244538079685762,0.016663247231967028,0.012327460600759791,0.01121149068814544,3411.8527493101737,10
109,0.3168995992613021,0.3671035925730629,1.471417548439535,1.471417548439535,0.19208367307118066,5.422933134326047,-1.571591242648328,7.971644972781819E-4,0.008099268853192735,-6.438236534560553E-6,-0.008099266294264456,2982.792318874905,10
141,0.3758034231263659,0.3771588720039653,-1.0148314281793878,-1.0148314281793878,-0.24526247451742966,4.472226888708827,2.0914846804105105,0.002749306088351693,0.07795197611068048,-0.03877934535179849,0.0676215420827272,2779.77263297744,10
130,0.3401438336077779,0.3886285009100561,-0.26212615026047853,-0.26212615026047853,-0.16286467620074688,3.8910983143088864,-2.1634376478291033,0.07323351279667954,0.0774240688033769,-0.04324551254185454,-0.06422080718164747,2679.990964303286,10
99,0.29745127535127447,0.3064715259089408,1.0127380248965248,1.0127380248965248,-0.1344598453803123,5.752010892152381,2.591003667220243,0.038888887028309616,0.03888997187214634,-0.0331426764354442,0.020346815743791092,2761.742583111994,10
2,3.299801545131757E-4,0.005119409015164878,0.5201401678411214,0.5201401678411214,1.9104265755706316,3.946413592345887,0.538019522445065,2.240841518838921E-4,0.012533790853905628,0.010763082476390887,0.006422769556496308,57.38451463098855,2
118,0.3505201748945075,0.3529585809203027,-0.6411910490190111,-0.6411910490190111,0.050796292519214886,4.405581257207938,-1.0602541321444168,0.017863205195567566,0.04390020913942861,0.021451853549118893,-0.03830204096119065,2481.5769895460116,2
2,6.026144672332925E-4,0.004745511734560879,1.3220969663275732,1.3220969663275732,-1.74062961770389,3.22684807125525,-1.8686777071408491,3.4338680671711503E-4,0.006984773731890344,-0.002050000010058284,-0.006677167366815543,69.7679789372717,2
5,0.01386643283230102,0.034492056607225846,-0.13516246525858608,-0.13516246525858608,2.1341705704939313,5.517500323782723,0.9080864169839075,0.01848098086843609,0.021388926908298828,0.013159652904751431,0.016861486580815373,89.75654978430336,2
128,0.32863892866419747,0.40759972666379757,-0.26198557981225845,-0.26198557981225845,0.009564018704943649,3.84330750814634,0.7634682436457936,0.040252377187435136,0.04708157461901003,0.03401372146444353,0.032553669850643,2588.6862707039054,2
