file_names,index,simulated_showers
gamma_20deg_0deg_run10259___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10260___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10261___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10262___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10263___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10264___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10265___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10266___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10267___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10268___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10269___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10270___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10271___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10272___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10273___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10274___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10275___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10276___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10277___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10278___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10279___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10280___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10281___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10282___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10283___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10284___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10285___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10286___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10287___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10288___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10289___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10290___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10291___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10292___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10293___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10294___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10295___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10296___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10297___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10298___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10299___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run10300___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11101___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11102___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11103___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11104___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11105___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11106___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11107___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11108___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11109___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11110___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11111___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11112___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11113___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11114___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11115___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11116___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11117___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11118___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11119___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11120___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11121___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11122___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11123___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11124___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11125___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11126___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11127___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11128___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11129___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11130___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11131___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11132___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11133___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11134___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11135___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11136___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11137___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11138___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11139___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11140___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11141___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11142___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11143___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11144___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11145___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11146___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11147___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11148___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11149___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11150___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run11151___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11152___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11153___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11154___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11155___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11156___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11157___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11158___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11159___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11160___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11161___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11162___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11163___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
